ZEI;"Enero
(2020)";"Abril
(2020)";"Mayo
(2020)";"Junio
(2020)";"Julio
(2020)";"Agosto
(2020)";"Setiembre
(2020)";"Octubre
(2020)";"Noviembre
(2020)";Diciembre  (2020);Enero (2021);Febrero (2021);Marzo (2021);Abril (2021);Mayo (2021);Junio (2021);Julio (2021);Agosto (2021);Setiembre (2021);Octubre (2021);Noviembre (2021);Diciembre (2021);Enero (2022);Febrero (2022);Marzo (2022);Abril (2022);Mayo (2022);Junio (2022);Julio (2022);Agosto (2022);Setiembre (2022);Octubre (2022);Noviembre (2022);Diciembre (2022);Enero (2023);Febrero (2023);Marzo (2023);Abril (2023);Mayo (2023);Junio (2023);Julio (2023);Agosto (2023);Setiembre (2023);Octubre (2023);Noviembre (2023);Diciembre (2023)
VRAEM; 5,922.26 ; 2,425.74 ; 2,940.19 ; 3,457.68 ; 4,450.36 ; 4,395.71 ; 4,177.14 ; 4,468.75 ; 4,300.00 ; 4,202.50 ; 4,084.07 ; 3,783.21 ; 3,676.88 ; 3,700.00 ; 3,906.70 ; 3,854.13 ; 3,958.46 ; 3,968.53 ; 4,067.43 ; 4,005.37 ; 4,009.23 ; 3,799.00 ; 3,482.27 ; 3,532.23 ; 3,361.01 ; 3,272.39 ; 3,388.56 ; 3,036.80 ; 3,132.97 ; 3,631.51 ; 3,538.99 ; 3,315.00 ; 2,972.26 ; 3,213.64 ; 3,178.33 ; 3,357.09 ; 3,361.45 ; 3,749.83 ; 3,693.00 ; 3,869.51 ; 4,938.85 ; 5,182.22 ; 5,793.84 ; 6,102.42 ; 5,760.45 ; 5,550.63 
Triple Frontera; 5,147.00 ; 5,133.43 ; 5,763.00 ; 6,174.40 ; 6,174.40 ; 4,559.40 ; 4,994.60 ; 4,856.25 ; 5,145.00 ; 5,285.00 ; 5,227.20 ; 5,385.60 ; 5,819.18 ; 5,905.20 ; 5,490.00 ; 5,547.85 ; 5,842.05 ; 6,304.62 ; 5,497.13 ; 5,145.95 ; 6,691.29 ; 6,990.31 ; 6,476.38 ; 5,766.05 ; 5,225.25 ; 5,343.01 ; 6,103.97 ; 6,118.20 ; 6,543.36 ; 6,113.46 ; 8,102.73 ; 8,137.00 ; 7,950.86 ; 7,960.47 ; 7,904.52 ; 7,966.69 ; 7,200.95 ; 8,129.46 ; 8,466.20 ; 7,815.62 ; 7,679.55 ; 8,130.96 ; 7,907.11 ; 8,096.26 ; 8,260.41 ; 8,432.60 
Sur Amazónico; 9,423.94 ;;;; 7,140.00 ; 7,140.00 ; 7,471.50 ; 7,350.00 ; 7,350.00 ; 7,350.00 ; 7,560.00 ; 7,560.00 ; 7,770.00 ; 7,770.00 ; 7,875.00 ; 8,085.00 ; 8,295.00 ; 8,568.00 ; 8,631.00 ; 8,484.00 ; 8,442.00 ; 8,526.00 ; 7,224.00 ; 7,039.71 ; 6,865.57 ; 6,789.49 ; 6,941.26 ; 6,941.26 ; 6,941.26 ; 6,941.26 ; 7,111.31 ; 7,274.06 ; 7,107.66 ; 7,023.54 ; 6,974.17 ; 7,083.94 ; 6,973.37 ; 6,956.79 ; 6,805.67 ; 6,748.54 ; 6,643.50 ; 6,829.63 ; 6,844.37 ; 7,456.69 ; 7,314.86 ; 7,430.54 
La Convención - Kosñipata; 3,684.96 ; 5,895.59 ; 7,525.33 ; 5,457.00 ; 4,173.50 ; 4,964.00 ; 5,176.50 ; 4,865.00 ; 5,162.50 ; 5,083.75 ; 5,598.00 ; 5,535.00 ; 5,439.00 ; 5,420.50 ; 4,978.13 ; 3,965.50 ; 3,752.50 ; 3,029.40 ; 3,288.00 ; 4,191.50 ; 4,824.00 ; 5,024.25 ; 5,056.80 ; 4,373.90 ; 4,282.30 ; 3,935.78 ; 3,814.98 ; 3,957.33 ; 3,833.96 ; 4,080.70 ; 4,433.46 ; 4,137.12 ; 4,372.88 ; 4,647.61 ; 4,614.94 ; 4,189.96 ; 4,124.56 ; 4,114.75 ; 3,286.77 ; 3,369.04 ; 3,875.38 ; 4,447.20 ; 4,456.80 ; 4,605.60 ; 4,555.65 ; 4,714.92 
Huallaga; 5,026.14 ; 3,828.47 ; 3,243.42 ; 3,544.50 ; 3,919.15 ; 4,524.72 ; 4,814.64 ; 5,000.23 ; 5,316.76 ; 5,084.04 ; 4,740.75 ; 4,545.53 ; 4,520.73 ; 4,127.81 ; 3,661.09 ; 4,158.80 ; 4,315.38 ; 4,426.80 ; 4,162.31 ; 4,080.40 ; 3,527.55 ; 3,654.00 ; 3,262.00 ; 3,144.68 ; 2,982.16 ; 2,941.62 ; 2,845.63 ; 3,024.46 ; 2,946.17 ; 2,846.78 ; 3,055.10 ; 3,239.09 ; 3,309.78 ; 3,189.95 ; 3,223.31 ; 3,169.38 ; 3,100.99 ; 3,221.96 ; 3,092.89 ; 2,976.29 ; 2,929.06 ; 3,181.60 ; 3,268.32 ; 3,311.23 ; 3,231.31 ; 3,208.77 
Corredor Amazónico; 4,958.77 ; 4,222.79 ; 3,993.89 ; 3,979.13 ; 4,177.47 ; 4,259.63 ; 4,338.97 ; 4,510.33 ; 4,520.54 ; 4,570.13 ; 4,533.90 ; 4,523.40 ; 4,699.31 ; 4,493.65 ; 4,651.25 ; 3,860.91 ; 3,878.90 ; 4,173.16 ; 3,288.00 ; 3,490.56 ; 2,753.70 ; 2,821.70 ; 2,800.35 ; 3,087.04 ; 3,094.85 ; 2,727.96 ; 3,013.08 ; 3,153.05 ; 3,097.30 ; 3,086.62 ; 2,962.93 ; 3,105.33 ; 3,099.88 ; 3,173.63 ; 2,985.82 ; 2,915.95 ; 3,054.23 ; 3,561.98 ; 3,793.24 ; 3,816.33 ; 3,650.06 ; 3,891.30 ; 3,902.35 ; 3,898.31 ; 4,087.71 ; 4,105.51 
NACIONAL; 5,279.57 ; 3,972.14 ; 4,320.64 ; 4,130.34 ; 4,337.88 ; 4,605.62 ; 4,705.20 ; 4,780.44 ; 4,911.06 ; 4,800.48 ; 4,783.64 ; 4,636.71 ; 4,618.15 ; 4,490.69 ; 4,337.13 ; 4,130.32 ; 4,177.34 ; 4,115.36 ; 3,984.34 ; 4,167.21 ; 4,172.33 ; 4,211.00 ; 4,331.05 ; 4,207.27 ; 3,948.04 ; 3,806.34 ; 3,965.53 ; 3,946.67 ; 3,970.17 ; 4,080.73 ; 4,365.09 ; 4,363.75 ; 4,303.94 ; 4,363.49 ; 4,346.96 ; 4,319.05 ; 4,201.31 ; 4,485.09 ; 4,358.84 ; 4,294.60 ; 4,550.88 ; 4,864.65 ; 5,004.86 ; 5,195.11 ; 5,111.80 ; 5,116.38 
